Voltaje (V),Potencial escalar (V),Diámetro bobina (cm),Impedancia carga (ohmios),Coef. Reflexión,Consumo sin carga (J),Consumo con carga (J),Mejor potencial y consumo,Trabajo resistencias (J)
1,0.0014292652965483869,0.05,100,-0.5717344753747323,0.6731196896679796,0.007706950278901162,True,1.3385324290570582
1,0.0010106431833039665,0.05,200,-0.2945326278659612,0.9132505311223712,0.012766813352917815,True,1.8137342488918247
1,0.0008251867037056016,0.05,300,-0.10044977511244378,0.9899098426798595,0.014888725245614116,True,1.964930960114105
1,0.0007146326482741934,0.05,400,0.04302477183833116,0.9981488690082595,0.015136105235063814,True,1.9811616327814552
1,0.0006391868721927178,0.05,500,0.15340253748558247,0.9764676614929845,0.014493667987698244,True,1.9384416549982708
1,0.0005834951139352053,0.05,600,0.24095139607032057,0.9419424247317635,0.013524993629176271,True,1.8703598558343506
1,0.0005402115046002881,0.05,700,0.31208997188378634,0.9025998494495775,0.012495460144692017,True,1.792704238754463
1,0.0005053215916519832,0.05,800,0.37103684661525277,0.8623316584538094,0.011515443527959532,True,1.7131478733796595
1,0.0004764217655161291,0.05,900,0.4206787687450671,0.8230293735271343,0.010623600317284704,True,1.635435146736984
1,0.00045197337177288986,0.05,1000,0.4630577907827359,0.785577482395412,0.00982745870369705,True,1.561327506087127
1,0.0004309397013206403,0.05,1100,0.4996591683708248,0.7503407154629758,0.009121975577953884,True,1.4915594553479976
1,0.0004125933518528008,0.05,1200,0.5315890236119974,0.7174131099752432,0.008497761238471317,True,1.426328458712015
1,0.0003964068702266503,0.05,1300,0.5596880623875224,0.6867492728209008,0.00794460978048922,True,1.3655539358613125
1,0.00038198721817785146,0.05,1400,0.5846066779852858,0.6582350320550083,0.007452921653121307,True,1.3090171424568955
1,0.0003690347127229406,0.05,1500,0.6068559185859668,0.6317258940771825,0.0070141909211469304,True,1.256437597233218
1,0.0003573163241370967,0.05,1600,0.6268429079816981,0.6070679687130485,0.00662108869055497,True,1.207514848735542
1,0.00034664775204110284,0.05,1700,0.6448959845186261,0.584109169151752,0.006267383453758985,True,1.161950954849745
