Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,792,4601538,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,418,1153967,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,22,13056,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,198,2689,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,22,151,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,198,11,0.000000,0.000000,0.000000,0.000000,0.000000
