Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,378,4284469,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,270,1463018,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,18,21178,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,126,2561,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,18,177,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,126,9,0.000000,0.000000,0.000000,0.000000,0.000000
