Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,72,3308112,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,108,2399483,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,12,60918,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,48,2578,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,12,309,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,48,12,0.000000,0.000000,0.000000,0.000000,0.000000
