Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,1848,4888676,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,700,872863,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,28,7351,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,336,2411,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,28,97,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,336,14,0.000000,0.000000,0.000000,0.000000,0.000000
