Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,30,2659738,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,70,3009650,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,10,99221,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,30,2429,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,10,367,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,30,7,0.000000,0.000000,0.000000,0.000000,0.000000
