Nombre_tipo,Elementos_mod_p,elementos,Media,Varianza,Desviacion tipica,Desviacion media,% del total
Libre de c,240,4051240,0.000000,0.000000,0.000000,0.000000,0.000000
Linea de c,208,1688337,0.000000,0.000000,0.000000,0.000000,0.000000
Constante c,16,28900,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y libre de c,96,2708,0.000000,0.000000,0.000000,0.000000,0.000000
0 en arista y linea de c,16,219,0.000000,0.000000,0.000000,0.000000,0.000000
0 en esquina,96,8,0.000000,0.000000,0.000000,0.000000,0.000000
