2339,1217,4481,1319,2441,13464,4787,1931,9173,3257,6113
3217,1993,4951,2707,3931,9078,3761,191,7433,3659,7229
3329,1187,6491,2309,4451,13396,5641,1663,10639,4621,8599
3463,1423,6217,2749,4789,1496,3701,1559,6353,3191,5333
3463,1423,6829,2137,4177,1700,3803,1559,7577,2273,4517
3547,2017,5791,2833,4363,2856,4261,2731,7219,2833,4363
3677,1637,7043,2351,4391,8568,4663,1093,8539,4357,7927
3701,1559,6353,3191,5333,1496,3463,1423,6217,2749,4789
3761,191,7433,3659,7229,6222,4373,2843,6719,3557,5087
3769,2341,6217,2749,4177,1836,3463,1423,6217,2749,4789
3803,1559,7577,2273,4517,1700,3463,1423,6829,2137,4177
3947,1091,7823,2927,5783,15912,6599,1601,12107,6089,11087
4211,2579,6353,3701,5333,2040,3701,1559,6353,3191,5333
4211,2069,6863,3701,5843,1530,4211,2579,6353,3701,5333
4261,2731,7219,2833,4363,2856,3547,2017,5791,2833,4363
4373,2843,6719,3557,5087,5780,3217,1993,4951,2707,3931
4483,3463,6217,3769,4789,1904,4211,2579,6353,3701,5333
4567,3343,6301,4057,5281,3978,4261,2731,7219,2833,4363
4637,2087,7901,3923,6473,16354,7867,4297,12967,6337,9907
4663,1093,8539,4357,7927,7854,6091,2521,12109,3643,7213
4703,2153,7559,4397,6947,4590,4567,3343,6301,4057,5281
4787,1931,9173,3257,6113,13464,2339,1217,4481,1319,2441
4877,2633,9161,2837,5081,12070,6883,3313,11779,5557,9127
4943,1373,9839,3617,7187,3978,4637,2087,7901,3923,6473
4969,1399,9151,4357,7927,1224,4663,1093,8539,4357,7927
4969,1399,9661,3847,7417,1530,4969,1399,9151,4357,7927
4987,907,9781,4273,8353,12920,7673,3797,12569,6653,10529
5003,2963,8369,3677,5717,4760,4969,1399,9661,3847,7417
5179,4057,7321,4159,5281,2448,4567,3343,6301,4057,5281
5297,1217,10091,4583,8663,6018,4787,1931,9173,3257,6113
5441,1871,9929,4523,8093,11866,7549,3061,12547,7039,11527
5639,2069,10331,4517,8087,10710,4483,3463,6217,3769,4789
5641,1663,10639,4621,8599,13396,3329,1187,6491,2309,4451
5689,691,11197,5179,10177,9520,7151,5009,10313,6131,8273
5861,2903,10859,3821,6779,4080,4943,1373,9839,3617,7187
6047,4517,8291,5333,6863,6936,5639,2069,10331,4517,8087
6091,2521,12109,3643,7213,5100,4969,1399,9661,3847,7417
6131,3581,9803,5009,7559,6324,4703,2153,7559,4397,6947
6491,881,12713,5879,11489,7310,7681,4111,11863,7069,10639
6521,1523,12539,5501,10499,6732,5297,1217,10091,4583,8663
6553,2677,12979,4003,7879,14654,9239,5669,13829,8219,11789
6569,2999,11057,5651,9221,12546,9221,5651,14423,7589,11159
6569,2999,12791,3917,7487,5202,6569,2999,11057,5651,9221
6581,1481,13109,5153,10253,9622,8893,4813,15319,6547,10627
6599,1601,12107,6089,11087,15912,3947,1091,7823,2927,5783
6689,3119,12401,4547,8117,1938,6553,2677,12979,4003,7879
6733,613,13159,6427,12547,5508,7549,3061,12547,7039,11527
6763,3907,11149,5233,8089,4998,5641,1663,10639,4621,8599
6803,1193,13127,6089,11699,2244,6599,1601,12107,6089,11087
6823,1213,13249,6007,11617,6426,8353,4273,13147,7639,11719
6833,2549,12647,5303,9587,13294,8941,3331,14653,8839,14449
6869,2789,12377,5441,9521,7106,6733,613,13159,6427,12547
6883,3313,11779,5557,9127,6902,8243,4673,13037,7019,10589
6883,3313,12697,4639,8209,2754,6883,3313,11779,5557,9127
7001,4451,10979,5573,8123,1326,6763,3907,11149,5233,8089
7043,719,14081,6329,12653,9452,8539,4969,14557,6091,9661
7151,5009,10313,6131,8273,4794,6131,3581,9803,5009,7559
7351,3373,13879,4801,8779,4420,6569,2999,12791,3917,7487
7433,3863,13043,5393,8963,9826,9643,5563,17497,5869,9949
7477,3907,13903,4621,8191,4182,6763,3907,11149,5233,8089
7477,3907,13291,5233,8803,1836,7477,3907,13903,4621,8191
7517,1907,13841,6803,12413,3570,6803,1193,13127,6089,11699
