1823,443,3617,1409,2789,15778,-2990,-1610,-4922,-2438,-3818
4349,761,8627,3659,7247,5520,-690,-1380,-1380,690,1380
3221,1289,5843,2531,4463,30912,-6072,-2760,-12144,-3312,-6624
4513,1063,8929,3547,6997,38916,-7314,-2484,-14628,-4830,-9660
4621,2551,8623,2689,4759,3726,138,828,414,-828,-1518
3001,1069,5623,2311,4243,37214,-7222,-2944,-14674,-4048,-8326
4483,1723,8209,3517,6277,16422,-2484,276,-4554,-3174,-5934
1997,1307,2963,1721,2411,38272,-7130,-2024,-14720,-4646,-9752
4783,643,9199,4507,8647,11316,-2208,-1518,-3312,-1794,-2484
5039,2141,10007,2969,5867,5520,690,1380,1380,-690,-1380
5399,1949,10781,3467,6917,20332,-4232,-4922,-3680,-4094,-3404
4813,2053,8539,3847,6607,15778,2990,1610,4922,2438,3818
5927,1787,10343,5651,9791,30912,-6486,-4140,-12696,-2622,-4968
5507,677,10613,5231,10061,29532,-6210,-4140,-11868,-2622,-4692
6311,4793,9209,4931,6449,37950,-4968,2484,-11730,-5658,-13110
6067,547,11863,5791,11311,27600,-5520,-5520,-5520,-5520,-5520
6053,1913,11159,5087,9227,15594,-2898,-828,-5934,-1932,-4002
6863,4517,10589,5483,7829,4140,552,-276,1380,552,1380
6991,2161,12511,6301,11131,11316,2208,1518,3312,1794,2484
6967,1447,12763,6691,12211,19044,2346,-1104,4140,4002,7452
6983,2153,12917,5879,10709,28198,-6164,-5060,-10994,-2438,-3542
6991,2851,13063,5059,9199,828,0,0,-276,276,276
7121,1601,13883,5879,11399,2346,138,-552,966,0,690
6991,2851,13339,4783,8923,828,0,0,276,-276,-276
7229,3089,13577,5021,9161,24886,-5060,-6302,-2990,-5888,-4646
7349,5279,11351,5417,7487,13386,2898,2898,4002,1794,1794
7583,2753,14897,5099,9929,7866,1656,966,4554,-552,138
8093,5333,12647,6299,9059,22126,-3956,-1886,-5750,-4232,-6302
7717,2887,15307,4957,9787,3542,368,-460,1886,-322,506
7349,3347,13421,5279,9281,5934,0,-1932,2070,-138,1794
8287,2767,16567,5527,11047,6762,1058,-322,2990,506,1886
8087,3257,13331,7673,12503,6072,966,1656,-552,1794,1104
8647,5197,13063,7681,11131,6624,1656,3036,552,1380,0
8663,4799,15287,5903,9767,7590,1794,2760,2070,552,-414
8951,2741,17093,7019,13229,15594,2898,828,5934,1932,4002
9041,5591,14009,7523,10973,12052,-2576,-3956,-644,-3128,-1748
9127,3331,17683,6367,12163,38272,7130,2024,14720,4646,9752
9041,5591,14423,7109,10559,1242,0,0,414,-414,-414
