5,4
17,7
23,11
29,7
41,4
557,1
563,1
569,1
647,1
653,1
659,1
1097,1
1103,1
1109,1
1277,1
1283,1
1289,1
1487,1
1493,1
1499,1
2693,1
2711,1
2729,1
2957,1
2963,1
2969,1
3917,1
3923,1
3929,1
5381,1
5399,1
5417,1
5843,1
5861,1
5879,1
7817,1
7823,1
7829,1
11681,1
11699,1
11717,1
33563,1
33581,1
33599,1
34613,1
34631,1
34649,1
41507,1
41513,1
41519,1
67121,1
67139,1
67157,1
69221,1
69239,1
69257,1
79817,1
79823,1
79829,1
82997,1
83003,1
83009,1
97367,1
97373,1
97379,1
159617,1
159623,1
159629,1
194717,1
194723,1
194729,1
