59,17,113,47,89,29,71,5,101
71,41,113,59,89,53,83,29,101
73,37,139,43,79,67,103,7,109
89,29,167,71,131,47,107,11,149
103,43,199,67,127,79,139,7,163
109,37,211,79,151,67,139,7,181
127,73,211,97,151,103,157,43,181
127,43,241,97,181,73,157,13,211
131,71,233,89,149,113,173,29,191
137,47,263,101,191,83,173,11,227
139,67,271,79,151,127,199,7,211
149,59,281,107,197,101,191,17,239
151,61,283,109,199,103,193,19,241
157,37,283,151,271,43,163,31,277
167,71,293,137,233,101,197,41,263
167,53,311,137,251,83,197,23,281
173,89,317,113,197,149,233,29,257
179,89,347,101,191,167,257,11,269
191,71,353,149,269,113,233,29,311
191,89,353,131,233,149,251,29,293
193,73,349,157,277,109,229,37,313
211,43,409,181,349,73,241,13,379
227,137,353,191,281,173,263,101,317
227,101,443,137,263,191,317,11,353
239,89,431,197,347,131,281,47,389
241,73,439,211,379,103,271,43,409
241,61,463,199,379,103,283,19,421
241,109,463,151,283,199,331,19,373
251,71,443,239,419,83,263,59,431
251,41,479,233,443,59,269,23,461
257,47,491,233,443,71,281,23,467
257,71,503,197,383,131,317,11,443
263,173,359,257,347,179,269,167,353
263,137,419,233,359,167,293,107,389
269,59,491,257,467,71,281,47,479
269,149,431,227,347,191,311,107,389
269,149,467,191,311,227,347,71,389
269,137,491,179,311,227,359,47,401
269,137,521,149,281,257,389,17,401
271,103,499,211,379,163,331,43,439
281,71,503,269,479,83,293,59,491
281,101,491,251,431,131,311,71,461
281,83,509,251,449,113,311,53,479
281,71,521,251,461,101,311,41,491
283,109,547,193,367,199,373,19,457
293,83,557,239,449,137,347,29,503
293,167,479,233,359,227,353,107,419
