2,0,0,0,0
3,0,0,0,0
5,0,6,93,1152
7,2,17,154,2090
11,1,15,129,1795
13,0,14,149,1943
17,0,0,0,0
19,0,15,131,1848
23,0,14,140,1906
29,2,14,118,1659
31,0,8,126,1559
37,1,7,105,1603
41,1,18,114,1438
43,2,20,98,1618
47,1,17,119,1628
53,1,10,122,1554
59,1,13,137,1636
61,0,5,122,1431
67,2,9,119,1603
71,2,23,122,1610
73,1,17,68,1487
79,2,6,89,1395
83,1,9,126,1483
89,2,11,108,1602
97,0,12,84,1362
101,1,26,132,1601
103,2,12,86,1471
107,1,7,110,1430
109,1,10,100,1503
113,1,11,138,1316
127,1,16,123,1569
131,1,15,128,1352
137,0,28,174,1618
139,2,9,110,1281
149,1,13,100,1538
151,0,14,128,1445
157,0,16,95,1653
163,1,8,99,1435
167,1,14,127,1433
173,0,19,131,1573
179,0,23,146,1438
181,0,11,91,1523
191,0,18,113,1559
193,0,12,120,1645
197,0,12,134,1467
199,1,19,108,1523
211,0,25,136,1469
223,0,13,121,1505
227,0,19,95,1411
229,0,5,115,1490
233,0,15,146,1568
239,0,16,83,1451
241,0,19,135,1412
251,0,17,141,1678
257,0,29,123,1572
263,0,15,99,1531
269,0,27,117,1276
271,0,14,119,1546
277,0,15,107,1478
281,0,18,111,1601
283,0,13,102,1472
293,0,18,138,1632
307,0,19,135,1584
311,0,32,115,1454
313,0,12,123,1347
317,0,20,132,1637
331,0,22,122,1514
337,0,25,138,1563
347,0,23,139,1508
349,0,13,109,1510
353,0,20,132,1565
359,0,14,158,1343
367,0,23,117,1365
373,0,12,120,1468
379,0,20,135,1500
383,0,15,147,1380
389,0,32,129,1616
397,0,11,98,1359
401,0,11,121,1525
409,0,20,107,1540
419,0,16,136,1385
421,0,14,145,1541
431,0,15,116,1645
433,0,13,96,1423
439,0,18,169,1459
443,0,38,146,1487
449,0,23,171,1572
457,0,12,131,1284
461,0,21,118,1549
463,0,24,108,1666
467,0,32,107,1666
479,0,23,128,1701
487,0,14,105,1495
491,0,27,131,1598
499,0,9,97,1413
503,0,11,151,1417
509,0,25,178,1489
521,0,28,141,1537
523,0,11,144,1653
541,0,9,109,1457
547,0,26,189,1653
557,0,29,166,1574
563,0,17,135,1730
569,0,13,111,1554
571,0,14,120,1423
577,0,17,114,1544
587,0,10,116,1464
593,0,20,141,1616
599,0,31,178,1559
601,0,18,132,1760
607,0,19,127,1325
613,0,12,98,1444
617,0,14,126,1516
619,0,19,109,1435
631,0,28,174,1502
641,0,25,132,1511
643,0,26,112,1345
647,0,16,112,1394
653,0,11,109,1568
659,0,17,125,1457
661,0,19,110,1527
673,0,19,125,1564
677,0,35,111,1548
683,0,29,158,1606
691,0,11,103,1333
701,0,26,166,1522
709,0,13,92,1341
719,0,18,119,1437
727,0,21,130,1557
733,0,12,131,1395
739,0,16,125,1386
743,0,20,132,1520
751,0,20,125,1397
757,0,11,114,1343
761,0,25,155,1532
769,0,10,124,1439
773,0,17,139,1545
787,0,10,168,1645
797,0,22,148,1650
809,0,33,181,1650
811,0,16,148,1648
821,0,16,148,1547
823,0,22,152,1631
827,0,12,158,1527
829,0,19,125,1597
839,0,31,136,1606
853,0,25,140,1345
857,0,13,144,1652
859,0,12,158,1642
863,0,24,194,1668
877,0,14,125,1554
881,0,29,160,1577
883,0,31,137,1731
887,0,26,144,1632
907,0,27,126,1607
911,0,25,152,1698
919,0,13,122,1473
929,0,26,146,1557
937,0,26,143,1706
941,0,25,158,1495
947,0,5,152,1642
953,0,19,146,1566
967,0,19,130,1537
971,0,28,175,1545
977,0,24,177,1545
983,0,16,151,1470
991,0,20,125,1443
997,0,13,126,1516
1009,0,11,147,1441
1013,0,23,199,1664
1019,0,38,184,1654
1021,0,13,126,1565
1031,0,14,186,1568
1033,0,10,137,1519
1039,0,14,164,1669
1049,0,18,112,1478
1051,0,18,141,1533
1061,0,23,160,1825
1063,0,19,124,1490
1069,0,18,127,1612
1087,0,13,171,1701
1091,0,19,167,1594
1093,0,17,125,1342
1097,0,32,162,1548
1103,0,12,167,1668
1109,0,9,135,1389
1117,0,12,140,1647
1123,0,7,100,1589
1129,0,8,136,1550
1151,0,8,110,1479
1153,0,6,178,1557
1163,0,23,154,1661
1171,0,14,157,1605
1181,0,15,140,1537
1187,0,8,168,1644
1193,0,10,131,1401
1201,0,8,145,1566
1213,0,4,122,1389
1217,0,9,137,1586
1223,0,17,207,1751
1229,0,16,193,1869
1231,0,4,146,1456
1237,0,2,158,1607
1249,0,18,163,1533
1259,0,9,209,1577
1277,0,8,190,1417
1279,0,10,160,1723
1283,0,15,172,1575
1289,0,8,166,1388
1291,0,10,145,1659
1297,0,7,126,1402
1301,0,19,198,1538
1303,0,13,151,1484
1307,0,13,159,1650
1319,0,6,161,1749
1321,0,6,141,1378
1327,0,15,151,1473
1361,0,18,199,1631
1367,0,7,199,1449
1373,0,15,183,1474
1381,0,9,178,1461
1399,0,4,168,1501
1409,0,7,180,1617
1423,0,2,162,1535
1427,0,7,200,1568
1429,0,6,134,1400
1433,0,11,183,1592
1439,0,17,182,1530
1447,0,2,224,1665
1451,0,7,172,1676
1453,0,8,171,1518
1459,0,13,191,1439
1471,0,6,178,1571
1481,0,10,174,1522
1483,0,5,156,1516
1487,0,3,196,1616
1489,0,2,142,1620
1493,0,9,196,1677
1499,0,8,214,1577
1511,0,4,215,1575
1523,0,5,160,1541
1531,0,8,186,1721
1543,0,4,118,1752
1549,0,2,182,1550
1553,0,9,218,1742
1559,0,9,197,1620
1567,0,8,149,1514
1571,0,7,204,1658
1579,0,2,133,1659
1583,0,11,194,1803
1597,0,4,160,1655
1601,0,9,138,1668
1607,0,8,186,1807
1609,0,6,125,1422
1613,0,9,175,1701
1619,0,7,198,1522
1621,0,0,106,1454
1627,0,6,189,1480
1637,0,9,188,1448
1657,0,2,181,1454
1663,0,5,199,1525
1667,0,0,159,1511
1669,0,5,160,1544
1693,0,8,145,1377
1697,0,0,233,1751
1699,0,3,182,1701
1709,0,7,201,1589
1721,0,6,224,1683
1723,0,6,158,1628
1733,0,4,171,1761
1741,0,10,193,1479
1747,0,6,181,1554
1753,0,1,166,1666
1759,0,3,160,1671
1777,0,5,182,1640
1783,0,0,195,1608
1787,0,1,248,1734
1789,0,5,170,1606
1801,0,5,182,1602
1811,0,4,217,1514
1823,0,0,211,1518
1831,0,9,165,1461
1847,0,3,202,1570
1861,0,7,155,1682
1867,0,3,201,1542
1871,0,3,172,1693
1873,0,5,162,1651
1877,0,1,193,1656
1879,0,3,224,1705
1889,0,2,180,1680
1901,0,6,189,1627
1907,0,3,180,1717
1913,0,1,240,1559
1931,0,6,219,1757
1933,0,1,161,1520
1949,0,1,191,1636
1951,0,3,166,1560
1973,0,1,177,1678
1979,0,3,182,1543
1987,0,2,216,1615
1993,0,0,178,1589
1997,0,2,184,1732
1999,0,2,234,1671
2003,0,3,182,1628
2011,0,6,179,1519
2017,0,0,165,1444
2027,0,2,201,1504
2029,0,1,156,1516
2039,0,1,197,1643
2053,0,0,175,1735
2063,0,1,169,1623
2069,0,2,201,1767
2081,0,0,186,1453
2083,0,1,210,1518
2087,0,2,160,1618
2089,0,2,168,1483
2099,0,2,223,1742
2111,0,0,190,1684
2113,0,0,201,1583
2129,0,0,185,1583
2131,0,1,144,1435
2137,0,0,166,1432
2141,0,1,236,1576
2143,0,0,189,1687
2153,0,2,227,1795
2161,0,2,182,1514
2179,0,0,173,1473
2203,0,0,203,1686
2207,0,0,174,1580
2213,0,0,209,1749
2221,0,0,165,1598
2237,0,0,171,1576
2239,0,0,160,1698
