67247,4232,0,0
123829,1861,0,0
144563,1299,0,0
147457,1073,0,0
7933,2580,0,0
30181,3359,0,0
71263,4403,0,0
77419,4162,0,0
84811,3518,0,0
86029,3646,0,0
106373,2402,0,0
114799,1949,0,0
160621,793,0,0
159293,836,0,0
23801,3339,0,0
70061,4135,0,0
178361,394,0,0
38239,3441,0,0
109453,1967,0,0
117563,1742,0,0
117617,2189,0,0
180361,408,0,0
60917,4328,0,0
74707,4314,0,0
102023,2406,0,0
134917,1329,0,0
21767,3348,0,0
24421,3262,0,0
83791,3856,0,0
116911,1943,0,0
21433,3069,0,0
33751,3486,0,0
44809,3947,0,0
111847,2077,0,0
9521,2942,0,0
24671,3486,0,0
40099,3792,0,0
114487,2045,0,0
139571,1261,0,0
156491,852,0,0
42821,3837,0,0
143609,1165,0,0
167117,649,0,0
40063,3632,0,0
34673,3678,0,0
35089,3501,0,0
189407,155,0,0
191537,183,0,0
150743,983,0,0
162881,719,0,0
176887,454,0,0
183593,345,0,0
23041,3048,0,0
61651,4122,0,0
74197,3695,0,0
112363,1970,0,0
150571,1070,0,0
10061,2992,0,0
19373,3253,0,0
148123,1136,0,0
149543,1045,0,0
149969,946,0,0
198413,29,0,0
2731,1998,0,0
33569,3722,0,0
107603,2281,0,0
111149,2231,0,0
183307,337,0,0
67421,4548,0,0
95101,3568,0,0
183383,334,0,0
49411,3848,0,0
165527,631,0,0
3001,2070,0,0
14461,2964,0,0
74051,4384,0,0
78737,3966,0,0
172933,467,0,0
182617,349,0,0
198761,38,0,0
25703,3285,0,0
67883,4485,0,0
143567,1119,0,0
185077,328,0,0
193493,145,0,0
194863,106,0,0
91673,4060,0,0
113023,2085,0,0
122561,2070,0,0
631,1955,0,0
26893,3385,0,0
86843,4162,0,0
82067,4124,0,0
98849,3893,0,0
153763,916,0,0
18121,3132,0,0
26041,3122,0,0
39191,3716,0,0
124781,1857,0,0
189151,239,0,0
41603,4080,0,0
134243,1487,0,0
145031,1099,0,0
159473,828,0,0
169339,644,0,0
183683,312,0,0
188801,227,0,0
4943,2486,0,0
7517,2338,0,0
47251,3694,0,0
63059,4243,0,0
160049,833,0,0
182921,343,0,0
2689,1918,0,0
39883,3594,0,0
65557,4225,0,0
91297,3850,0,0
106331,2499,0,0
120587,1860,0,0
121633,1633,0,0
199831,2,0,0
19717,3330,0,0
146011,1123,0,0
86423,4116,0,0
14207,3036,0,0
15217,3095,0,0
140677,1227,0,0
142421,1148,0,0
147179,1232,0,0
153247,981,0,0
167033,640,0,0
6563,2347,0,0
13399,3008,0,0
17443,3028,0,0
32719,3632,0,0
35279,3601,0,0
38153,3807,0,0
43781,4312,0,0
1151,1995,0,0
28909,3434,0,0
63599,3736,0,0
75223,4114,0,0
140281,1102,0,0
172069,536,0,0
66029,4252,0,0
70619,4265,0,0
77339,3844,0,0
116101,2249,0,0
141679,1207,0,0
147221,1143,0,0
159737,817,0,0
12829,3057,0,0
81553,4156,0,0
195697,76,0,0
17477,3364,0,0
20549,3391,0,0
61967,4173,0,0
65951,3806,0,0
31081,3585,0,0
47591,3712,0,0
112621,2089,0,0
128449,1762,0,0
172157,551,0,0
111623,2147,0,0
125887,1588,0,0
182159,313,0,0
1801,2009,0,0
3413,2239,0,0
19181,3458,0,0
57331,3948,0,0
139393,1163,0,0
190811,180,0,0
10753,2390,0,0
26641,3815,0,0
30703,3490,0,0
61031,4080,0,0
85087,4097,0,0
85223,3838,0,0
108893,2205,0,0
147211,1181,0,0
6311,2704,0,0
84559,3381,0,0
153353,926,0,0
62003,4596,0,0
120283,1786,0,0
137483,1329,0,0
