2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,1,0,0
7,1,1,0,0,0,0,1,2,0,1
11,0,0,0,0,1,0,0,2,2,0
13,0,0,0,0,0,1,4,0,0,2
17,1,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,1,3,1,0,1
23,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,1,1,0,0,0,0
31,0,1,0,0,0,0,0,0,1,1
37,0,0,0,0,1,0,1,0,0,1
41,0,0,0,0,1,0,0,0,0,1
43,0,0,0,1,0,0,1,1,0,0
47,0,0,0,1,0,0,0,0,0,2
53,0,0,0,1,2,1,3,2,0,0
59,0,0,0,0,0,1,0,0,1,1
61,0,0,0,0,0,0,0,1,0,0
67,0,0,2,1,0,1,2,3,0,0
71,2,0,0,0,1,0,1,0,0,1
73,0,0,1,1,2,0,0,0,1,0
79,0,0,0,0,0,0,0,1,3,1
83,0,1,1,0,0,0,0,0,1,1
89,0,0,0,0,2,1,1,1,0,0
97,1,1,1,1,1,2,1,0,3,1
101,0,1,0,1,0,0,1,0,0,1
103,0,0,0,0,0,1,0,0,1,1
107,0,0,0,2,1,0,0,1,2,0
109,0,1,0,0,1,1,0,0,0,0
113,0,0,0,1,0,0,0,0,0,0
127,1,1,2,0,0,1,0,0,1,0
131,0,0,0,0,0,0,1,1,0,2
137,0,0,0,0,0,0,1,2,0,1
139,0,0,0,0,1,0,1,1,1,0
149,0,3,1,1,2,0,1,0,1,0
151,0,1,0,1,2,0,1,0,5,0
157,0,1,0,0,1,1,1,0,0,2
163,0,1,0,0,0,0,0,0,1,0
167,0,0,0,0,0,1,0,1,0,1
173,0,1,0,1,0,1,0,2,0,3
179,0,0,0,0,1,0,1,1,0,1
181,0,0,0,0,0,0,1,0,1,0
191,0,0,1,0,3,0,0,1,0,0
193,0,0,0,0,1,1,1,3,0,0
197,0,0,0,0,1,1,1,0,0,0
199,0,0,0,0,0,2,1,0,1,0
211,0,1,1,1,2,0,0,3,0,0
223,0,0,0,0,0,0,1,0,0,0
227,0,0,0,1,0,2,1,2,2,0
229,0,0,0,0,1,0,0,0,1,1
233,0,0,1,0,0,1,0,0,1,1
239,0,0,2,0,1,0,0,3,0,1
241,0,0,0,0,0,0,0,0,0,1
